system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20180611T211509_20180611T211511_T07WET_5,2666,1267,1316,1470,1488,2243,2255,2,4,32607,-0.33902561526870917,0.2081874495017506,0.2049158429067593,162,0.04331489474703063,0.041965840817073705,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180612T213531_20180612T213528_T07WET_0,1710,1771,1775,1887,1819,2226,2257,0,1,32607,0.018651362984218076,0.0824215900802334,0.10745829244357213,163,0.006793214011264967,0.011546771404789791,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180612T213531_20180612T213528_T07WET_1,2112,1175,1170,1188,1182,2040,1984,12,8,32607,-0.2870201096892139,0.26394052044609667,0.2533164876816172,163,0.06955211895312534,0.06408131137137592,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180612T213531_20180612T213528_T07WET_2,2540,1232,1359,1303,1469,2345,2429,8,14,32607,-0.3028981790202616,0.2856359649122807,0.24628014366341713,163,0.08140735287398614,0.06057963863238156,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180612T213531_20180612T213528_T07WET_3,885,2500,2272,3300,2581,3045,2626,1,1,32607,0.4393411466582198,-0.04018912529550828,0.008642212406376032,163,0.0016151643874926034,7.468783513804344E-5,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180612T213531_20180612T213528_T07WET_4,2435,1178,1193,1190,1194,1791,1782,9,6,32607,-0.34233737596471886,0.20161019792016102,0.1975806451612903,163,0.040624301862867,0.0390182923996698,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180612T213531_20180612T213528_T07WET_5,2658,1206,1218,1335,1343,2169,2131,5,7,32607,-0.3715170278637771,0.238013698630137,0.22682786413356362,163,0.05658999594147119,0.051405527831885275,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180613T210021_20180613T210020_T07WET_0,1902,1518,1495,1557,1479,2051,2013,78,87,32607,-0.11981159846923756,0.1369179600886918,0.15292096219931273,164,0.01874433205835526,0.023380558950369668,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180613T210021_20180613T210020_T07WET_1,2048,1407,1425,1407,1410,2098,2086,91,91,32607,-0.17938381802476244,0.1971469329529244,0.19336384439359267,164,0.03884735372662655,0.03737216275763021,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180613T210021_20180613T210020_T07WET_2,2617,1517,1525,1646,1660,2581,2559,72,75,32607,-0.26364075325929504,0.22119706647740714,0.21308366911590423,164,0.04888913551433953,0.045373473945680504,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
